"Ensembl.ID","Gene.name","Category","Function","Multiple.functions","Inheritance","List","MitoCarta2.0","OMIM..07.2020.","OMIM_entrez_ID","OMIM_phenotype","OMIM_MIM.number","OMIM_inheritance","S..Stenton.2020","S..Rahman.2020","A..Frazier.2019","M..Falk.2020"
"ENSG00000100412","ACO2","Metabolism of substrates","Tricarboxylic acid cycle enzymes","no","AR",272,"yes","yes","50","Infantile cerebellar-retinal degeneration, 614559 Y-Autosomal recessive; ?Optic atrophy 9, 616289 Y-Autosomal recessive","100850","AR","yes","yes","yes","yes"
"ENSG00000141385","AFG3L2","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial protein quality control","no","AR/AD",272,"yes","yes","10939","Spastic ataxia 5, autosomal recessive, 614487 Y-Autosomal recessive; Spinocerebellar ataxia 28, 610246 Y-Autosomal dominant","604581","AR+AD","yes","yes","yes","yes"
"ENSG00000006530","AGK","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial membrane phospholipid and import machinery","no","AR",272,"yes","yes","55750","Sengers syndrome, 212350 Y-Autosomal recessive; Cataract 38, autosomal recessive, 614691 Y-Autosomal recessive","610345","AR","yes","yes","yes","yes"
"ENSG00000156709","AIFM1","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial membrane phospholipid and import machinery","no","XLR",272,"yes","yes","9131","Cowchock syndrome, 310490 Y-X-linked recessive; Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy, 300232 Y-X-linked recessive; Combined oxidative phosphorylation deficiency 6, 300816 Y-X-linked recessive; Deafness, X-linked 5, 300614 Y-X-linked recessive","300169","XLR","yes","yes","yes","yes"
"ENSG00000158578","ALAS2","Metabolism of cofactors","Haem biosynthesis","no","XLR",413,"yes","yes","212","Protoporphyria, erythropoietic, X-linked, 300752 Y-X-linked; Anemia, sideroblastic, 1, 300751 Y-X-linked recessive","301300","XLR","no","yes","no","no"
"ENSG00000059573","ALDH18A1","Metabolism of substrates","Tricarboxylic acid cycle enzymes","no","AR/AD",413,"yes","yes","5832","Cutis laxa, autosomal recessive, type IIIA, 219150 Y-Autosomal recessive; Cutis laxa, autosomal dominant 3, 616603 Y-Autosomal dominant; Spastic paraplegia 9B, autosomal recessive, 616586 Y-Autosomal recessive; Spastic paraplegia 9A, autosomal dominant, 601162 Y-Autosomal dominant","138250","AR+AD","no","yes","yes","yes"
"ENSG00000160746","ANO10","Others / Unknown function","Others / Unknown function","no","AR",413,"no","yes","55129","Spinocerebellar ataxia, autosomal recessive 10, 613728 Y-Autosomal recessive","613726","AR","no","yes","no","no"
"ENSG00000256053","APOPT1","Mitochondrial dynamics, homeostasis, and quality control ","Apoptosis defect","no","AR",272,"yes","yes","84334","Mitochondrial complex IV deficiency","220110","AR","yes","yes","yes","yes"
"ENSG00000137074","APTX","Mitochondrial DNA replication and expression","DNA repair","no","AR",413,"no","yes","54840","Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 Y-Autosomal recessive","606350","AR","no","yes","no","no"
"ENSG00000197785","ATAD3A","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial protein quality control","no","AR/AD",272,"yes","yes","55210","Harel-Yoon syndrome, 617183 Y-Autosomal dominant, Autosomal recessive","612316","AD","yes","yes","yes","yes"
"ENSG00000152234","ATP5F1A","OXPHOS subunits, assembly factors, and electron carriers","CV subunits","no","AR",272,"yes","yes","498","?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4, 615228 Y-Autosomal recessive; ?Combined oxidative phosphorylation deficiency 22, 616045 Y-Autosomal recessive","164360","AR","yes","yes","yes","yes"
"ENSG00000099624","ATP5F1D","OXPHOS subunits, assembly factors, and electron carriers","CV subunits","no","AR",413,"yes","yes","513","Mitochondrial complex V (ATP synthase) deficiency, 618120 Y-Autosomal recessive","603150","AR","yes","yes","no","yes"
"ENSG00000124172","ATP5F1E","OXPHOS subunits, assembly factors, and electron carriers","CV subunits","no","AR",272,"yes","no",".","?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3",".",".","yes","yes","yes","yes"
"ENSG00000173915","ATP5MD","OXPHOS subunits, assembly factors, and electron carriers","CV assembly factors","no","AR",413,"yes","yes","84833","Mitochondrial complex V (ATP synthase) deficiency, nuclear type 6, 618683 Y-Autosomal recessive","615204","AR","yes","yes","no","yes"
"ENSG00000171953","ATPAF2","OXPHOS subunits, assembly factors, and electron carriers","CV assembly factors","no","AR",272,"yes","yes","91647","?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 Y-Autosomal recessive","608918","AR","yes","yes","yes","yes"
"ENSG00000074582","BCS1L","OXPHOS subunits, assembly factors, and electron carriers","CIII assembly factors","no","AR",272,"yes","yes","617","Leigh syndrome, 256000 Y-Mitochondrial, Autosomal recessive; GRACILE syndrome, 603358 Y-Autosomal recessive; Bjornstad syndrome, 262000 Y-Autosomal recessive; Mitochondrial complex III deficiency, nuclear type 1, 124000 Y-Autosomal recessive","603647","AR","yes","yes","yes","yes"
"ENSG00000163170","BOLA3","Metabolism of cofactors","Iron–sulphur cluster protein biosynthesis ","no","AR",272,"yes","yes","388962","Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia, 614299 Y-Autosomal recessive","613183","AR","yes","yes","yes","yes"
"ENSG00000169814","BTD","Metabolism of cofactors","Biotin metabolism","no","AR",413,"no","yes","686","Biotinidase deficiency, 253260 Y-Autosomal recessive","609019","AR","yes","yes","no","yes"
"ENSG00000130921","C12orf65","Mitochondrial DNA replication and expression","Translation regulation","no","AR",272,"yes","yes","91574","Spastic paraplegia 55, autosomal recessive, 615035 Y-Autosomal recessive; Combined oxidative phosphorylation deficiency 7, 613559 Y-Autosomal recessive","613541","AR","yes","yes","yes","yes"
"ENSG00000131943","C19orf12","Others / Unknown function","Others / Unknown function","no","AR/AD",413,"no","yes","83636","Neurodegeneration with brain iron accumulation 4, 614298 Y-Autosomal dominant, Autosomal recessive; ?Spastic paraplegia 43, autosomal recessive, 615043 Y-Autosomal recessive","614297","AR+AD","no","yes","yes","yes"
"ENSG00000174917","C19orf70","Mitochondrial dynamics, homeostasis, and quality control ","MICOS complex / Ca2+ homoeostasis","yes","AR",272,"yes","yes","125988","Combined oxidative phosphorylation deficiency 37, 618329 Y-Autosomal recessive","616658","AR","yes","yes","yes","yes"
"ENSG00000108561","C1QBP","Mitochondrial DNA replication and expression","Translation regulation","no","AR",272,"yes","yes","708","Combined oxidative phosphorylation deficiency 33, 617713 Y-Autosomal recessive","601269","AR","yes","yes","yes","yes"
"ENSG00000174990","CA5A","Metabolism of substrates","Anaplerosis","no","AR",413,"yes","yes","763","Hyperammonemia due to carbonic anhydrase VA deficiency, 615751 Y-Autosomal recessive","114761","AR","yes","yes","no","no"
"ENSG00000134905","CARS2","Mitochondrial DNA replication and expression","Mitochondrial tRNA synthetases","no","AR",272,"yes","yes","79587","Combined oxidative phosphorylation deficiency 27, 616672 Y-Autosomal recessive","612800","AR","yes","yes","yes","yes"
"ENSG00000173992","CCS","Metabolism of cofactors","Copper transport","no","AR",413,"no","no",".",".",".",".","no","yes","no","no"
"ENSG00000121289","CEP89","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","no",".",".",".",".","yes","yes","yes","yes"
"ENSG00000250479","CHCHD10","Mitochondrial dynamics, homeostasis, and quality control ","MICOS complex","no","AD",272,"yes","yes","400916","Spinal muscular atrophy, Jokela type, 615048 Y-Autosomal dominant; Frontotemporal dementia and/or amyotrophic lateral sclerosis 2, 615911 Y-Autosomal dominant; ?Myopathy, isolated mitochondrial, autosomal dominant, 616209 Y-Autosomal dominant","615903","AD","yes","yes","yes","yes"
"ENSG00000106153","CHCHD2","Mitochondrial dynamics, homeostasis, and quality control ","MICOS complex","no","AD",413,"yes","yes","51142","Parkinson disease 22, autosomal dominant, 616710 Y-Autosomal dominant","616244","AD","no","yes","no","no"
"ENSG00000100288","CHKB","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial membrane phospholipid and import machinery","no","AR",413,"no","yes","1120","Muscular dystrophy, congenital, megaconial type, 602541 Y-Autosomal recessive","612395","AR","no","yes","yes","yes"
"ENSG00000145354","CISD2","Others / Unknown function","Others / Unknown function","no","AR",413,"yes","yes","493856","Wolfram syndrome 2, 604928 Y-Autosomal recessive","611507","AR","no","yes","no","no"
"ENSG00000162129","CLPB","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial protein quality control","no","AR",272,"yes","yes","81570","3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271 Y-Autosomal recessive","616254","AR","yes","yes","yes","yes"
"ENSG00000125656","CLPP","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial protein quality control","no","AR",272,"yes","yes","8192","Perrault syndrome 3, 614129 Y-Autosomal recessive","601119","AR","yes","yes","yes","yes"
"ENSG00000166855","CLPX","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial protein quality control","no","AD",413,"yes","yes","10845","?Protoporphyria, erythropoietic, 2, 618015 Y-Autosomal dominant","615611","AD","no","yes","no","no"
"ENSG00000183978","COA3","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","yes","28958","?Mitochondrial complex IV deficiency","614775","AR","yes","yes","yes","yes"
"ENSG00000183513","COA5","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","yes","493753","?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3, 616500 Y-Autosomal recessive","613920","AR","yes","yes","yes","yes"
"ENSG00000168275","COA6","Metabolism of cofactors / OXPHOS subunits, assembly factors, and electron carriers","Copper transport / CIV assembly factors","yes","AR",272,"yes","yes","388753","Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4, 616501 Y-Autosomal recessive","614772","AR","yes","yes","yes","yes"
"ENSG00000162377","COA7","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","yes","65260","Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3, 618387 Y-Autosomal recessive","615623","AR","yes","yes","yes","yes"
"ENSG00000068120","COASY","Metabolism of cofactors","CoA metabolism and transport","no","AR",272,"yes","yes","80347","Neurodegeneration with brain iron accumulation 6, 615643 Y-Autosomal recessive; Pontocerebellar hypoplasia, type 12, 618266 Y-Autosomal recessive","609855","AR","yes","yes","yes","yes"
"ENSG00000173085","COQ2","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","27235","{Multiple system atrophy, susceptibility to}, 146500 Y-Autosomal dominant, Autosomal recessive; Coenzyme Q10 deficiency, primary, 1, 607426 Y-Autosomal recessive","609825","AR+AD","yes","yes","yes","yes"
"ENSG00000167113","COQ4","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","51117","Coenzyme Q10 deficiency, primary, 7, 616276 Y-Autosomal recessive","612898","AR","yes","yes","yes","yes"
"ENSG00000110871","COQ5","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","no",".",".",".",".","yes","yes","yes","yes"
"ENSG00000119723","COQ6","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","51004","Coenzyme Q10 deficiency, primary, 6, 614650 Y-Autosomal recessive","614647","AR","yes","yes","yes","yes"
"ENSG00000167186","COQ7","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","10229","?Coenzyme Q10 deficiency, primary, 8, 616733 Y-Autosomal recessive","601683","AR","yes","yes","yes","yes"
"ENSG00000163050","COQ8A","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","56997","Coenzyme Q10 deficiency, primary, 4, 612016 Y-Autosomal recessive","606980","AR","yes","yes","yes","yes"
"ENSG00000123815","COQ8B","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","79934","Nephrotic syndrome, type 9, 615573 Y-Autosomal recessive","615567","AR","yes","yes","yes","yes"
"ENSG00000088682","COQ9","OXPHOS subunits, assembly factors, and electron carriers","Coenzyme Q10","no","AR",272,"yes","yes","57017","Coenzyme Q10 deficiency, primary, 5, 614654 Y-Autosomal recessive","612837","AR","yes","yes","yes","yes"
"ENSG00000006695","COX10","Metabolism of cofactors / OXPHOS subunits, assembly factors, and electron carriers","Haem biosynthesis / CIV assembly factors","yes","AR",272,"yes","yes","1352","Leigh syndrome due to mitochondrial COX4 deficiency, Mitochondrial complex IV deficiency","256000, 220110","AR","yes","yes","yes","yes"
"ENSG00000178449","COX14","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","yes","84987","?Mitochondrial complex IV deficiency","220110","AR","yes","yes","yes","yes"
"ENSG00000014919","COX15","Metabolism of cofactors / OXPHOS subunits, assembly factors, and electron carriers","Haem biosynthesis / CIV assembly factors","yes","AR",272,"yes","yes","1355","Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119 Y-Autosomal recessive; Leigh syndrome due to cytochrome c oxidase deficiency, 256000 Y-Mitochondrial, Autosomal recessive","603646","AR","yes","yes","yes","yes"
"ENSG00000203667","COX20","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","yes","116228","Mitochondrial complex IV deficiency","220110","AR","yes","yes","yes","yes"
"ENSG00000131143","COX4I1","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",272,"yes","no",".",".",".",".","yes","yes","yes","yes"
"ENSG00000131055","COX4I2","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",272,"yes","yes","84701","Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis, 612714 Y-Autosomal recessive","607976","AR","yes","yes","yes","yes"
"ENSG00000178741","COX5A","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",272,"yes","no",".",".",".",".","yes","yes","yes","yes"
"ENSG00000111775","COX6A1","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",272,"yes","yes","1337","Charcot-Marie-Tooth disease, recessive intermediate D, 616039 Y-Autosomal recessive","602072","AR","yes","yes","yes","yes"
"ENSG00000156885","COX6A2","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",413,"yes","yes","1339","Mitochondrial complex IV deficiency","220110","AR","yes","yes","no","no"
"ENSG00000126267","COX6B1","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",272,"yes","yes","1340","Mitochondrial complex IV deficiency","220110","AR","yes","yes","yes","yes"
"ENSG00000131174","COX7B","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","XLD",272,"yes","yes","1349","Linear skin defects with multiple congenital anomalies 2, 300887 Y-X-linked dominant","300885","XLD","yes","yes","yes","yes"
"ENSG00000176340","COX8A","OXPHOS subunits, assembly factors, and electron carriers","CIV subunits","no","AR",272,"yes","yes","1351","?Mitochondrial complex IV deficiency","220110","AR","yes","yes","yes","yes"
"ENSG00000110090","CPT1A","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","1374","CPT deficiency, hepatic, type IA, 255120 Y-Autosomal recessive","600528","AR","yes","no","no","no"
"ENSG00000157184","CPT2","Metabolism of substrates","Fatty acid oxidation","no","AR/AD",413,"yes","yes","1376","CPT II deficiency, myopathic, stress-induced, 255110 Y-Autosomal dominant, Autosomal recessive; CPT II deficiency, infantile, 600649 Y-Autosomal recessive; CPT II deficiency, lethal neonatal, 608836 Y-Autosomal recessive; {Encephalopathy, acute, infection-induced, 4, susceptibility to}, 614212 Y-Autosomal dominant, Autosomal recessive","600650","AR+AD","yes","no","no","no"
"ENSG00000095321","CRAT","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","1384","?Neurodegeneration with brain iron accumulation 8, 617917 Y-Autosomal recessive","600184","AR","no","yes","no","no"
"ENSG00000159692","CTBP1","Others / Unknown function","Others / Unknown function","no","AD",413,"no","yes","1487","Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome, 617915 Y-Autosomal dominant","602618","AD","no","yes","no","yes"
"ENSG00000179091","CYC1","OXPHOS subunits, assembly factors, and electron carriers","CIII subunits","no","AR",272,"yes","yes","1537","Mitochondrial complex III deficiency, nuclear type 6, 615453 Y-Autosomal recessive","123980","AR","yes","yes","yes","yes"
"ENSG00000172115","CYCS","Metabolism of cofactors / OXPHOS subunits, assembly factors, and electron carriers","Haem biosynthesis / Cytochrome C","yes","AD",272,"yes","yes","54205","Thrombocytopenia 4, 612004 Y-Autosomal dominant","123970","AD","yes","yes","yes","yes"
"ENSG00000019186","CYP24A1","Mitochondrial dynamics, homeostasis, and quality control ","Ca2+ homoeostasis","no","AR",413,"yes","yes","1591","Hypercalcemia, infantile, 1, 143880 Y-Autosomal recessive","126065","AR","no","yes","no","no"
"ENSG00000180902","D2HGDH","Metabolism of toxic compounds","Metabolism of toxic compounds","no","AR",413,"yes","yes","728294","D-2-hydroxyglutaric aciduria, 600721 Y-Autosomal recessive","609186","AR","yes","no","yes","yes"
"ENSG00000117593","DARS2","Mitochondrial DNA replication and expression","Mitochondrial tRNA synthetases","no","AR",272,"yes","yes","55157","Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105 Y-Autosomal recessive","610956","AR","yes","yes","yes","yes"
"ENSG00000187323","DCC","Others / Unknown function","Others / Unknown function","no","AR/AD",413,"no","yes","1630","Esophageal carcinoma, somatic, 133239 (3); Gaze palsy, familial horizontal, with progressive scoliosis, 2, 617542 Y-Autosomal recessive; Mirror movements 1 and/or agenesis of the corpus callosum, 157600 Y-Autosomal dominant; Colorectal cancer, somatic, 114500 (3)","120470","AR+AD","no","yes","no","no"
"ENSG00000114956","DGUOK","Mitochondrial DNA replication and expression","Nucleotide pool maintenance","no","AR",272,"yes","yes","1716","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4, 617070 Y-Autosomal recessive; Portal hypertension, noncirrhotic, 617068 Y-Autosomal recessive; Mitochondrial DNA depletion syndrome 3 (hepatocerebral type), 251880 Y-Autosomal recessive","601465","AR","yes","yes","yes","yes"
"ENSG00000184047","DIABLO","Mitochondrial dynamics, homeostasis, and quality control ","Apoptosis defect","no","AD",413,"yes","yes","56616","Deafness, autosomal dominant 64, 614152 Y-Autosomal dominant","605219","AD","no","yes","no","no"
"ENSG00000131504","DIAPH1","Others / Unknown function","Others / Unknown function","no","AR/AD",413,"no","yes","1729","Seizures, cortical blindness, microcephaly syndrome, 616632 Y-Autosomal recessive; Deafness, autosomal dominant 1, 124900 Y-Autosomal dominant","602121","AR+AD","no","yes","no","no"
"ENSG00000150768","DLAT","Metabolism of substrates","Pyruvate metabolism","no","AR",272,"yes","yes","1737","Pyruvate dehydrogenase E2 deficiency, 245348 Y-Autosomal recessive","608770","AR","yes","yes","yes","yes"
"ENSG00000091140","DLD","Metabolism of substrates / Metabolism of cofactors","Pyruvate metabolism / Lipoic acid biosynthesis","yes","AR",272,"yes","yes","1738","Dihydrolipoamide dehydrogenase deficiency, 246900 Y-Autosomal recessive","238331","AR","yes","yes","yes","yes"
"ENSG00000119689","DLST","Metabolism of substrates","Tricarboxylic acid cycle enzymes","no","AD",413,"yes","yes","1743","Paragangliomas 7, 618475 Y-Autosomal dominant","126063","AD","yes","yes","no","no"
"ENSG00000138346","DNA2","Mitochondrial DNA replication and expression","Replication, maintenance, and transcription","no","AD",272,"yes","yes","1763","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6, 615156 Y-Autosomal dominant; ?Seckel syndrome 8, 615807 Y-Autosomal recessive","601810","AR+AD","yes","yes","yes","yes"
"ENSG00000205981","DNAJC19","Mitochondrial dynamics, homeostasis, and quality control ","Mitochondrial membrane phospholipid and import machinery","no","AR",272,"yes","yes","131118","3-methylglutaconic aciduria, type V, 610198 Y-Autosomal recessive","608977","AR","yes","yes","yes","yes"
"ENSG00000087470","DNM1L","Mitochondrial dynamics, homeostasis, and quality control ","Fission","no","AR/AD",272,"yes","yes","10059","Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1, 614388 Y-Autosomal dominant, Autosomal recessive; Optic atrophy 5, 610708 Y-Autosomal dominant","603850","AD","yes","yes","yes","yes"
"ENSG00000103356","EARS2","Mitochondrial DNA replication and expression","Mitochondrial tRNA synthetases","no","AR",272,"yes","yes","124454","Combined oxidative phosphorylation deficiency 12, 614924 Y-Autosomal recessive","612799","AR","yes","yes","yes","yes"
"ENSG00000127884","ECHS1","Metabolism of toxic compounds","Metabolism of toxic compounds","no","AR",272,"yes","yes","1892","Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency, 616277 Y-Autosomal recessive","602292","AR","yes","yes","yes","yes"
"ENSG00000130159","ECSIT","OXPHOS subunits, assembly factors, and electron carriers","CI assembly factors","no","AR",413,"yes","no",".",".",".",".","no","yes","no","no"
"ENSG00000006744","ELAC2","Mitochondrial DNA replication and expression","RNA processing","no","AR",272,"yes","yes","60528","Combined oxidative phosphorylation deficiency 17, 615440 Y-Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)","605367","AR","yes","yes","yes","yes"
"ENSG00000127463","EMC1","Others / Unknown function","Others / Unknown function","no","AR",413,"no","yes","23065","Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 Y-Autosomal recessive","616846","AR","no","yes","no","no"
"ENSG00000132591","ERAL1","Mitochondrial DNA replication and expression","RNA processing","no","AR",272,"yes","yes","26284","Perrault syndrome 6, 617565 Y-Autosomal recessive","607435","AR","yes","yes","yes","yes"
"ENSG00000140374","ETFA","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","2108","Glutaric acidemia IIA, 231680 Y-Autosomal recessive","608053","AR","yes","yes","no","no"
"ENSG00000105379","ETFB","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","2109","Glutaric acidemia IIB, 231680 Y-Autosomal recessive","130410","AR","yes","yes","no","no"
"ENSG00000171503","ETFDH","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","2110","Glutaric acidemia IIC, 231680 Y-Autosomal recessive","231675","AR","yes","yes","no","no"
"ENSG00000105755","ETHE1","Metabolism of toxic compounds","Metabolism of toxic compounds","no","AR",272,"yes","yes","23474","Ethylmalonic encephalopathy, 602473 Y-Autosomal recessive","608451","AR","yes","yes","yes","yes"
"ENSG00000107371","EXOSC3","Others / Unknown function","Others / Unknown function","no","AR",413,"no","yes","51010","Pontocerebellar hypoplasia, type 1B, 614678 Y-Autosomal recessive","606489","AR","no","no","no","yes"
"ENSG00000103089","FA2H","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"no","yes","79152","Spastic paraplegia 35, autosomal recessive, 612319 Y-Autosomal recessive","611026","AR","no","yes","no","no"
"ENSG00000145982","FARS2","Mitochondrial DNA replication and expression","Mitochondrial tRNA synthetases","no","AR",272,"yes","yes","10667","Spastic paraplegia 77, autosomal recessive, 617046 Y-Autosomal recessive; Combined oxidative phosphorylation deficiency 14, 614946 Y-Autosomal recessive","611592","AR","yes","yes","yes","yes"
"ENSG00000118246","FASTKD2","OXPHOS subunits, assembly factors, and electron carriers","CIV assembly factors","no","AR",272,"yes","yes","22868","Combined oxidative phosphorylation deficiency 44","618855","AR","yes","yes","yes","yes"
"ENSG00000112234","FBXL4","Others / Unknown function","Others / Unknown function","no","AR",272,"yes","yes","26235","Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type), 615471 Y-Autosomal recessive","605654","AR","yes","yes","yes","yes"
"ENSG00000267673","FDX1L","Metabolism of cofactors","Iron–sulphur cluster protein biosynthesis ","no","AR",272,"yes","yes","112812","Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy, 251900 Y-Autosomal recessive","614585","AR","yes","yes","yes","yes"
"ENSG00000161513","FDXR","Metabolism of cofactors","Iron–sulphur cluster protein biosynthesis ","no","AR",272,"yes","yes","2232","Auditory neuropathy and optic atrophy, 617717 Y-Autosomal recessive","103270","AR","yes","yes","yes","yes"
"ENSG00000114279","FGF12","Others / Unknown function","Others / Unknown function","no","AD",413,"no","yes","2257","Epileptic encephalopathy, early infantile, 47, 617166 Y-Autosomal dominant","601513","AD","no","yes","no","no"
"ENSG00000091483","FH","Metabolism of substrates","Tricarboxylic acid cycle enzymes","no","AR",272,"yes","yes","2271","Fumarase deficiency, 606812 Y-Autosomal recessive; Leiomyomatosis and renal cell cancer, 150800 Y-Autosomal dominant","136850","AR+AD","yes","yes","yes","yes"
"ENSG00000160688","FLAD1","Metabolism of cofactors","Riboflavin metabolism and transport","no","AR",272,"yes","yes","80308","Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100 Y-Autosomal recessive","610595","AR","yes","yes","yes","yes"
